Int Pid,Act Pid,Button1, Button2, Button3, Button Answered, Correct Button, got correct, Confidence of Guess,Time when Seen, Time when pressed, Time Difference, HandSize
1,2, Secretary, Judge, Truck Driver, Judge, Secretary,False,2,28.48611,31.87121,3.385099,Fitted
1,2, Climbing, Bobsledding, Ice Skaing, Climbing, Ice Skaing,False,5,40.08333,44.02058,3.937252,Fitted
1,2, Guitar, Violin, Cello, Violin, Violin,True,5,57.38889,61.76648,4.37759,Fitted
1,2, 4, 9, 7, 9, 7,False,5,70.70834,71.25178,0.5434341,Fitted
1,2, Mouse, Rabbit, Frog, Rabbit, Frog,False,3,80.43056,80.74722,0.3166656,Fitted
1,2, 7, 1, 4, 1, 7,False,4,90.20834,93.00271,2.794365,Fitted
1,2, Weight lifting, Karate, Boxing, Karate, Boxing,False,4,104.8333,107.957,3.123703,Fitted
1,2, 6, 7, 8, 8, 8,True,5,120.0278,122.6573,2.629501,Fitted
1,2, Car, Plane, Motorcycle, Plane, Motorcycle,False,7,131.1111,131.5312,0.420105,Fitted
1,2, Kayaking, Swimming, Diving, Diving, Diving,True,3,142.1389,143.2802,1.141296,Fitted
1,2, 4, 1, 2, 1, 4,False,6,151.4028,152.681,1.278198,Fitted
1,2, 2, 9, 5, 2, 5,False,4,160.4306,161.2251,0.7944946,Fitted
end of phase
1,2, 8, 3, 6, 3, 3,True,4,320.1667,324.1039,3.937225,Small
1,2, Kazoo, Trombone, Harmonica, Trombone, Harmonica,False,5,333.2778,334.9318,1.653992,Small
1,2, Kayaking, Swimming, Rowing, Swimming, Kayaking,False,4,345.5972,348.1035,2.506287,Small
1,2, Kayaking, Swimming, Pitcher, Swimming, Swimming,True,4,355.7083,356.5639,0.8555908,Small
1,2, Ukelele, Guitar, Triangle, Guitar, Ukelele,False,4,364.2361,372.6695,8.43338,Small
1,2, Boat, Segway, HorseBack Riding, Segway, Segway,True,4,382.1667,382.7434,0.5767212,Small
1,2, Baseball, Basketball, Golf, Basketball, Golf,False,4,391.0833,393.3581,2.27478,Small
1,2, Clarinet, Trumpet, Flute, Trumpet, Clarinet,False,2,401.5278,402.4752,0.9473877,Small
1,2, Gymnastics, Skiing, Snowboarding, Skiing, Snowboarding,False,4,410.6528,410.9538,0.3009949,Small
1,2, Softball, Football, Baseball, Football, Softball,False,4,419.9306,421.2465,1.315887,Small
1,2, Nurse, Flight Attendant, Construction Worker, Flight Attendant, Nurse,False,4,429.1806,430.4703,1.289703,Small
1,2, 1, 3, 5, 3, 1,False,4,439.1945,442.5535,3.359009,Small
end of phase
1,2, Table Tennis, Tennis, Baseball, Tennis, Table Tennis,False,4,586,587.3366,1.336609,Large
1,2, Spaghetti, Steak, Lasagna, Steak, Steak,True,4,613.1389,615.0272,1.888306,Large
1,2, Golf, Baseball, Tennis, Baseball, Baseball,True,4,626.0278,627.0626,1.034851,Large
1,2, 3, 7, 9, 7, 9,False,4,635.6805,636.2819,0.6014404,Large
1,2, 6, 1, 4, 1, 6,False,4,643.8195,643.9386,0.1190796,Large
1,2, Black Mirror, Indiana Jones, The Office, Indiana Jones, Indiana Jones,True,4,651.4445,654.212,2.767456,Large
1,2, 5, 3, 2, 3, 5,False,4,663.9583,664.5211,0.5628052,Large
1,2, 5, 9, 3, 9, 9,True,3,674.4861,676.8447,2.358643,Large
1,2, Rhino, Swan, Sloth, Swan, Sloth,False,3,687.1667,688.4074,1.240723,Large
1,2, Baseball, Volleyball, Football, Volleyball, Football,False,4,697.1945,699.2526,2.058105,Large
1,2, Monopoly, Gambling, Winning a Race, Gambling, Gambling,True,4,708.7083,711.0002,2.29187,Large
1,2, 2, 7, 9, 7, 7,True,3,720.0555,725.3525,5.296997,Large
end of phase
